综合测试,#genre#
CCTV65,http://101.66.198.77:9901/tsfile/live/0065_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV66,http://101.66.198.77:9901/tsfile/live/0066_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV67,http://101.66.198.77:9901/tsfile/live/0067_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV68,http://101.66.198.77:9901/tsfile/live/0068_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV69,http://101.66.198.77:9901/tsfile/live/0069_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV70,http://101.66.198.77:9901/tsfile/live/0070_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV71,http://101.66.198.77:9901/tsfile/live/0071_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV72,http://101.66.198.77:9901/tsfile/live/0072_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV73,http://101.66.198.77:9901/tsfile/live/0073_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV74,http://101.66.198.77:9901/tsfile/live/0074_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV75,http://101.66.198.77:9901/tsfile/live/0075_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV76,http://101.66.198.77:9901/tsfile/live/0076_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV77,http://101.66.198.77:9901/tsfile/live/0077_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV78,http://101.66.198.77:9901/tsfile/live/0078_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV79,http://101.66.198.77:9901/tsfile/live/0079_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV80,http://101.66.198.77:9901/tsfile/live/0080_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV81,http://101.66.198.77:9901/tsfile/live/0081_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV82,http://101.66.198.77:9901/tsfile/live/0082_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV83,http://101.66.198.77:9901/tsfile/live/0083_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV84,http://101.66.198.77:9901/tsfile/live/0084_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV85,http://101.66.198.77:9901/tsfile/live/0085_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV86,http://101.66.198.77:9901/tsfile/live/0086_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV87,http://101.66.198.77:9901/tsfile/live/0087_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV88,http://101.66.198.77:9901/tsfile/live/0088_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV89,http://101.66.198.77:9901/tsfile/live/0089_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV90,http://101.66.198.77:9901/tsfile/live/0090_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV91,http://101.66.198.77:9901/tsfile/live/0091_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV92,http://101.66.198.77:9901/tsfile/live/0092_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV93,http://101.66.198.77:9901/tsfile/live/0093_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV94,http://101.66.198.77:9901/tsfile/live/0094_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV95,http://101.66.198.77:9901/tsfile/live/0095_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV96,http://101.66.198.77:9901/tsfile/live/0096_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV97,http://101.66.198.77:9901/tsfile/live/0097_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV98,http://101.66.198.77:9901/tsfile/live/0098_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV99,http://101.66.198.77:9901/tsfile/live/0099_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV100,http://101.66.198.77:9901/tsfile/live/0100_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV101,http://101.66.198.77:9901/tsfile/live/0101_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV102,http://101.66.198.77:9901/tsfile/live/0102_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV103,http://101.66.198.77:9901/tsfile/live/0103_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV104,http://101.66.198.77:9901/tsfile/live/0104_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV105,http://101.66.198.77:9901/tsfile/live/0105_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV106,http://101.66.198.77:9901/tsfile/live/0106_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV107,http://101.66.198.77:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV108,http://101.66.198.77:9901/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV109,http://101.66.198.77:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV110,http://101.66.198.77:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV111,http://101.66.198.77:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV112,http://101.66.198.77:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV113,http://101.66.198.77:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV114,http://101.66.198.77:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV115,http://101.66.198.77:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV116,http://101.66.198.77:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV117,http://101.66.198.77:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV118,http://101.66.198.77:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV119,http://101.66.198.77:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV120,http://101.66.198.77:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV121,http://101.66.198.77:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV122,http://101.66.198.77:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV123,http://101.66.198.77:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV124,http://101.66.198.77:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV125,http://101.66.198.77:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV126,http://101.66.198.77:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV127,http://101.66.198.77:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV128,http://101.66.198.77:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV129,http://101.66.198.77:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV130,http://101.66.198.77:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV131,http://101.66.198.77:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV132,http://101.66.198.77:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV133,http://101.66.198.77:9901/tsfile/live/0133_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV134,http://101.66.198.77:9901/tsfile/live/0134_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV135,http://101.66.198.77:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV136,http://101.66.198.77:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV137,http://101.66.198.77:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV138,http://101.66.198.77:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV139,http://101.66.198.77:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV140,http://101.66.198.77:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV141,http://101.66.198.77:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV142,http://101.66.198.77:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV143,http://101.66.198.77:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV144,http://101.66.198.77:9901/tsfile/live/0144_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV145,http://101.66.198.77:9901/tsfile/live/0145_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV146,http://101.66.198.77:9901/tsfile/live/0146_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV147,http://101.66.198.77:9901/tsfile/live/0147_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV148,http://101.66.198.77:9901/tsfile/live/0148_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV149,http://101.66.198.77:9901/tsfile/live/0149_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV150,http://101.66.198.77:9901/tsfile/live/0150_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV151,http://101.66.198.77:9901/tsfile/live/0151_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV152,http://101.66.198.77:9901/tsfile/live/0152_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV153,http://101.66.198.77:9901/tsfile/live/0153_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV154,http://101.66.198.77:9901/tsfile/live/0154_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV155,http://101.66.198.77:9901/tsfile/live/0155_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV156,http://101.66.198.77:9901/tsfile/live/0156_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV157,http://101.66.198.77:9901/tsfile/live/0157_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV158,http://101.66.198.77:9901/tsfile/live/0158_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV159,http://101.66.198.77:9901/tsfile/live/0159_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV160,http://101.66.198.77:9901/tsfile/live/0160_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV161,http://101.66.198.77:9901/tsfile/live/0161_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV162,http://101.66.198.77:9901/tsfile/live/0162_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV163,http://101.66.198.77:9901/tsfile/live/0163_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV164,http://101.66.198.77:9901/tsfile/live/0164_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV165,http://101.66.198.77:9901/tsfile/live/0165_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV166,http://101.66.198.77:9901/tsfile/live/0166_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV167,http://101.66.198.77:9901/tsfile/live/0167_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV168,http://101.66.198.77:9901/tsfile/live/0168_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV169,http://101.66.198.77:9901/tsfile/live/0169_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV170,http://101.66.198.77:9901/tsfile/live/0170_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV171,http://101.66.198.77:9901/tsfile/live/0171_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV172,http://101.66.198.77:9901/tsfile/live/0172_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV173,http://101.66.198.77:9901/tsfile/live/0173_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV174,http://101.66.198.77:9901/tsfile/live/0174_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV175,http://101.66.198.77:9901/tsfile/live/0175_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV176,http://101.66.198.77:9901/tsfile/live/0176_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV177,http://101.66.198.77:9901/tsfile/live/0177_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV178,http://101.66.198.77:9901/tsfile/live/0178_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV179,http://101.66.198.77:9901/tsfile/live/0179_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV180,http://101.66.198.77:9901/tsfile/live/0180_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV181,http://101.66.198.77:9901/tsfile/live/0181_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV182,http://101.66.198.77:9901/tsfile/live/0182_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV183,http://101.66.198.77:9901/tsfile/live/0183_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV184,http://101.66.198.77:9901/tsfile/live/0184_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV185,http://101.66.198.77:9901/tsfile/live/0185_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV186,http://101.66.198.77:9901/tsfile/live/0186_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV187,http://101.66.198.77:9901/tsfile/live/0187_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV188,http://101.66.198.77:9901/tsfile/live/0188_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV189,http://101.66.198.77:9901/tsfile/live/0189_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV190,http://101.66.198.77:9901/tsfile/live/0190_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV191,http://101.66.198.77:9901/tsfile/live/0191_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV192,http://101.66.198.77:9901/tsfile/live/0192_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV193,http://101.66.198.77:9901/tsfile/live/0193_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV194,http://101.66.198.77:9901/tsfile/live/0194_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV195,http://101.66.198.77:9901/tsfile/live/0195_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV196,http://101.66.198.77:9901/tsfile/live/0196_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV197,http://101.66.198.77:9901/tsfile/live/0197_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV198,http://101.66.198.77:9901/tsfile/live/0198_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV199,http://101.66.198.77:9901/tsfile/live/0199_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1000_2,http://101.66.198.77:9901/tsfile/live/1000_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1001_2,http://101.66.198.77:9901/tsfile/live/1001_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1002_2,http://101.66.198.77:9901/tsfile/live/1002_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1003_2,http://101.66.198.77:9901/tsfile/live/1003_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1004_2,http://101.66.198.77:9901/tsfile/live/1004_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1005_2,http://101.66.198.77:9901/tsfile/live/1005_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1006_2,http://101.66.198.77:9901/tsfile/live/1006_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1007_2,http://101.66.198.77:9901/tsfile/live/1007_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1008_2,http://101.66.198.77:9901/tsfile/live/1008_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1009_2,http://101.66.198.77:9901/tsfile/live/1009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1010_2,http://101.66.198.77:9901/tsfile/live/1010_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1011_2,http://101.66.198.77:9901/tsfile/live/1011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1012_2,http://101.66.198.77:9901/tsfile/live/1012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1013_2,http://101.66.198.77:9901/tsfile/live/1013_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1014_2,http://101.66.198.77:9901/tsfile/live/1014_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1015_2,http://101.66.198.77:9901/tsfile/live/1015_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1016_2,http://101.66.198.77:9901/tsfile/live/1016_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1017_2,http://101.66.198.77:9901/tsfile/live/1017_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1018_2,http://101.66.198.77:9901/tsfile/live/1018_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1019_2,http://101.66.198.77:9901/tsfile/live/1019_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1020_2,http://101.66.198.77:9901/tsfile/live/1020_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1021_2,http://101.66.198.77:9901/tsfile/live/1021_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1022_2,http://101.66.198.77:9901/tsfile/live/1022_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1023_2,http://101.66.198.77:9901/tsfile/live/1023_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1024_2,http://101.66.198.77:9901/tsfile/live/1024_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1025_2,http://101.66.198.77:9901/tsfile/live/1025_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1026_2,http://101.66.198.77:9901/tsfile/live/1026_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1027_2,http://101.66.198.77:9901/tsfile/live/1027_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1028_2,http://101.66.198.77:9901/tsfile/live/1028_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1029_2,http://101.66.198.77:9901/tsfile/live/1029_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1030_2,http://101.66.198.77:9901/tsfile/live/1030_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1031_2,http://101.66.198.77:9901/tsfile/live/1031_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1032_2,http://101.66.198.77:9901/tsfile/live/1032_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1033_2,http://101.66.198.77:9901/tsfile/live/1033_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1034_2,http://101.66.198.77:9901/tsfile/live/1034_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1035_2,http://101.66.198.77:9901/tsfile/live/1035_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1036_2,http://101.66.198.77:9901/tsfile/live/1036_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1037_2,http://101.66.198.77:9901/tsfile/live/1037_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1038_2,http://101.66.198.77:9901/tsfile/live/1038_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1039_2,http://101.66.198.77:9901/tsfile/live/1039_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1040_2,http://101.66.198.77:9901/tsfile/live/1040_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1041_2,http://101.66.198.77:9901/tsfile/live/1041_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1042_2,http://101.66.198.77:9901/tsfile/live/1042_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1043_2,http://101.66.198.77:9901/tsfile/live/1043_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1044_2,http://101.66.198.77:9901/tsfile/live/1044_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1045_2,http://101.66.198.77:9901/tsfile/live/1045_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1046_2,http://101.66.198.77:9901/tsfile/live/1046_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1047_2,http://101.66.198.77:9901/tsfile/live/1047_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1048_2,http://101.66.198.77:9901/tsfile/live/1048_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1049_2,http://101.66.198.77:9901/tsfile/live/1049_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1050_2,http://101.66.198.77:9901/tsfile/live/1050_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1051_2,http://101.66.198.77:9901/tsfile/live/1051_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1052_2,http://101.66.198.77:9901/tsfile/live/1052_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1053_2,http://101.66.198.77:9901/tsfile/live/1053_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1054_2,http://101.66.198.77:9901/tsfile/live/1054_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1055_2,http://101.66.198.77:9901/tsfile/live/1055_2.m3u8?key=txiptv&playlive=1&authid=0
